"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","url","stimulus","button_pressed","answer"
"-1","-1","single-stim","72","134287","0.0-72.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","73","136290","0.0-73.0","","","Blobs/LowSimilarity/a05.gif","",""
"50","","button-response","74","137341","0.0-74.0","","","","0",""
"-1","-1","single-stim","75","138843","0.0-75.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","76","140844","0.0-76.0","","","Blobs/LowSimilarity/c03.gif","",""
"174","","button-response","77","142019","0.0-77.0","","","","0",""
"-1","-1","single-stim","78","143524","0.0-78.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","79","145525","0.0-79.0","","","Blobs/LowSimilarity/b06.gif","",""
"21","","button-response","80","146549","0.0-80.0","","","","0",""
"-1","-1","single-stim","81","148050","0.0-81.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","82","150051","0.0-82.0","","","Blobs/LowSimilarity/d01.gif","",""
"53","","button-response","83","151106","0.0-83.0","","","","0",""
"-1","-1","single-stim","84","152609","0.0-84.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","85","154611","0.0-85.0","","","Blobs/LowSimilarity/a11.gif","",""
"156","","button-response","86","155770","0.0-86.0","","","","0",""
"-1","-1","single-stim","87","157272","0.0-87.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","88","159275","0.0-88.0","","","Blobs/LowSimilarity/c15.gif","",""
"27","","button-response","89","160303","0.0-89.0","","","","0",""
"-1","-1","single-stim","90","161805","0.0-90.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","91","163807","0.0-91.0","","","Blobs/LowSimilarity/b01.gif","",""
"70","","button-response","92","164878","0.0-92.0","","","","0",""
"-1","-1","single-stim","93","166381","0.0-93.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","94","168383","0.0-94.0","","","Blobs/LowSimilarity/d07.gif","",""
"230","","button-response","95","169614","0.0-95.0","","","","0",""
"-1","-1","single-stim","96","171117","0.0-96.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
